SAS;34:14;520;273;571;13;10;2;0;4;33
BRK;36:02;640;643;800;10;7;0;0;0;49
MEM;40:00;500;500;700;12;12;1;1;6;35
CHI;40:03;313;125;778;7;10;2;1;6;18
DEN;38:16;458;545;857;10;8;0;1;9;34
CHO;36:25;421;111;857;12;9;0;1;4;23
ORL;35:09;529;500;1.000;3;6;2;0;6;29
TOR;38:24;423;200;700;7;8;4;1;4;31
LAC;31:41;810;667;1.000;6;6;1;0;1;44
NOP;27:59;611;444;800;4;9;1;0;2;30
NOP;26:15;313;600;600;2;2;0;0;8;16
WAS;32:25;389;364;667;7;10;0;0;3;26
MIL;35:19;577;444;250;9;9;0;0;3;35
SAC;31:47;368;429;800;10;7;3;0;2;25
LAL;38:45;385;250;875;12;8;2;0;0;30
LAC;38:05;444;125;1.000;3;4;2;2;4;30
HOU;37:56;517;300;889;9;9;2;0;0;41
OKC;45:59;500;385;643;15;18;2;2;7;36
UTA;31:57;560;500;750;10;11;1;0;4;40
POR;41:09;393;214;875;6;10;1;1;5;32
MEM;43:53;429;500;923;8;6;2;2;3;35
LAL;43:20;429;300;1.000;6;17;1;0;4;33
MIN;39:19;556;286;1.000;6;13;2;0;8;39
POR;37:21;536;333;1.000;12;10;1;0;4;40
DEN;36:22;542;500;600;11;8;0;0;3;38
LAC;44:22;360;182;571;9;10;1;0;5;28
SAS;31:37;481;500;727;12;10;1;1;2;39
PHO;43:31;600;500;1.000;6;15;4;3;4;50
CLE;36:36;483;300;800;7;6;2;2;5;39
GSW;37:31;483;385;857;8;10;1;1;4;39
UTA;33:44;300;231;667;6;14;1;0;4;19
POR;30:32;619;571;786;6;5;1;0;4;41
MIN;39:19;462;417;625;6;8;1;0;3;34
MEM;35:54;429;250;733;6;6;3;0;3;31
LAL;36:12;500;222;778;13;10;2;2;4;33
BOS;39:38;400;250;636;18;13;2;0;3;33
PHO;38:32;458;364;667;8;9;1;2;5;34
ATL;44:43;758;615;938;10;7;1;0;4;73
SAC;46:08;346;111;750;10;17;2;1;3;28
ORL;43:00;522;375;1.000;11;15;2;0;4;45
MIL;42:25;500;333;909;9;11;1;0;9;40
PHI;35:34;400;400;600;8;3;1;0;3;19
BRK;43:01;481;364;500;18;9;2;1;1;35
NYK;40:09;542;500;857;8;11;4;1;3;39
OKC;31:18;643;500;769;8;9;0;0;3;32
WAS;37:17;500;286;727;11;15;1;2;5;26
SAS;31:19;550;125;1.000;9;8;2;1;5;27
PHO;38:03;519;545;1.000;9;11;0;0;3;41
IND;33:06;476;500;750;6;6;1;2;3;33
CLE;41:16;586;545;1.000;9;14;3;0;1;45
TOR;35:37;478;125;778;12;16;2;0;5;30
BOS;36:33;560;333;750;12;11;0;0;2;37
PHI;40:17;519;400;1.000;11;10;1;0;7;38
IND;42:48;500;308;833;10;11;0;0;5;39
MIA;39:33;500;538;1.000;11;11;1;0;4;35
DET;36:38;542;308;900;10;10;3;2;6;39
